action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  NEW FILE button;0.743000031;0.822000027;1.011999846;0.726999998;0.869999886;0.938999891
Click Language menu;0.735000134;0.882999897;0.890000105;0.729000092;0.890000105;0.743999958
"Click ""J"" Letter";0.761999846;0.760999918;0.795000076;0.761999846;0.779999971;0.761000156
"Click ""Java"" Option";1.574999809;1.256000042;1.239000082;0.746999979;1.21600008;0.858999968
Paste program text;0.119000196;18.14699984;16.28299999;15.65799999;17.70299983;17.99800014
Paste comment text;0.104000092;0.07799983;0.291999817;0.072000027;0.282000065;0.078999996
Paste author comment;0.113999844;0.173000097;0.371000051;1.095000029;0.382999897;0.101000071
Click OPEN FILE button;1.59100008;3.109999895;17.8210001;3.138000011;17.48100019;3.521999836
Paste path;0.040999889;0.088999987;0.039999962;0.098999977;0.042000055;0.039999962
Click OPEN button;2.43900013;1.59800005;3.24000001;1.825000048;3.391000032;1.777000189
CTRL + A;0.394999981;0.253999949;0.690999985;0.265000105;0.67599988;0.258999825
CTRL + C;0.059999943;0.108999968;0.059999943;0.059999943;0.059999943;0.059999943
CTRL + N;0.065999985;0.059999943;0.060000181;0.059999943;0.060000181;0.059999943
CTRL + V;1.731999874;0.987999916;0.963999987;0.93900013;1.355999947;0.967000008
CTRL + F;0.078000069;0.5;0.851999998;0.55099988;0.516000032;0.190000057
"Paste word ""before""";0.042000055;0.059999943;0.042999983;0.10800004;0.042999983;0.040999889
Click COUNT ALL button + wait result;1.450999975;1.705000162;1.56400013;1.409999847;1.538000107;1.442000151
Close Search ;1.733999968;1.529999971;1.529999971;1.528000116;1.501999855;1.176999807
Click Search button;0.734000206;0.757999897;1.030999899;0.728999853;1.029999971;0.730000019
Click MARK tab;1.444999933;1.388999939;1.386000156;1.245000124;1.383000135;1.246999979
"Paste word ""after""";0.041000128;0.0400002;0.040999889;0.039999962;0.039999962;0.039999962
Click MARK ALL button;1.522000074;4.277999878;4.83100009;4.75;4.960000038;4.816999912
Find tab + click tab;0.967999935;0.739000082;0.871999979;0.739000082;0.865999937;0.74000001
Right click;0.780999899;0.772000074;1.131999969;0.769999981;1.431999922;0.768999815
Type DOWN;0.0400002;0.039999962;0.039999962;0.039999962;0.039999962;0.039999962
Type DOWN;0.039999962;0.039999962;0.039999962;0.039999962;0.0400002;0.039999962
Type ENTER;0.040999889;0.039999962;0.049999952;0.0400002;0.039999962;0.039999962
Click NO;0.967333317;5.749333302;5.615999937;5.820666631;7.680333296;5.681333383